Bedroom,Property Type,Property Subtype,Price,Location,Province,Living area,Kitchen Type,Furnished,HasFireplace,How many fireplaces?,HasGarden,Garden surface,HasTerrace,Terrace surface,Surface of the plot,Number of frontages,Swimming pool,Building condition
3,Apartment,Penthouse,"1,325,000",2900,Antwerpen,336,USA hyper equipped,No,No,0,No,0,Yes,40,0,0,No,Good
3,Apartment,Apartment,"1,690,000",1050,Brussels,285,USA uninstalled,No,No,0,No,0,No,0,0,2,No,As new
3,Apartment,Duplex,"1,700,000",1050,Brussels,240,Hyper equipped,0,No,0,No,0,No,0,0,2,No,As new
3,Apartment,Apartment,"1,839,000",1000,Brussels,203,Installed,No,No,0,No,0,Yes,76,0,3,No,Unknown
3,Apartment,Apartment,"1,839,000",1050,Brussels,203,Installed,No,No,0,No,0,Yes,76,0,3,No,Unknown
4,Apartment,Duplex,"1,985,000",8300,West-vlaanderen,180,Hyper equipped,0,No,0,No,0,Yes,12,0,2,No,Unknown
4,Apartment,Apartment,"2,500,000",1050,Brussels,227,Installed,0,No,0,No,0,Yes,87,0,4,No,As new
4,Apartment,Penthouse,"2,950,000",8300,West-vlaanderen,200,Hyper equipped,Yes,No,0,No,0,Yes,20,0,3,No,As new
3,House,House,"105,000",5060,Namen,151,Not installed,0,No,0,Yes,174,Yes,33,281,2,No,To renovate
2,House,House,"159,000",9400,Oost-vlaanderen,91,Semi equipped,No,No,0,No,0,No,0,273,0,No,Good
4,House,House,"269,000",9420,Oost-vlaanderen,180,Hyper equipped,0,No,0,No,0,No,0,347,3,No,Good
1,House,Town-house,"329,000",2018,Antwerpen,138,Hyper equipped,No,No,0,No,0,No,0,48,2,No,As new
4,House,House,"419,000",2980,Antwerpen,145,Hyper equipped,0,No,0,No,0,No,0,525,3,No,As new
3,House,House,"499,000",0,Unknown,185,0,No,Yes,1,Yes,1200,Yes,30,1225,0,No,As new
4,House,Mansion,"850,000",9300,Oost-vlaanderen,400,Installed,0,Yes,1,No,0,No,0,626,0,No,As new
8,House,Exceptional property,"995,000",1470,Waals-brabant,375,Installed,No,No,0,No,0,No,0,2413,4,No,Unknown
0,Apartment,Studio,"102,000",8430,West-vlaanderen,31,Installed,Yes,No,0,No,0,No,0,0,2,No,Good
